价格,价格1,名称_链接,名称,skcolor_ljg,promowords,pcommit,店铺_链接,店铺,关键词
56.9,56.9,https://item.jd.com/2020621.html,士力架花生夹心巧克力1000g量贩装 王嘉尔代言 礼物礼品横扫饥饿(新旧包装随机发放）,巧克力,,,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,自营
30.9,30.9,https://item.jd.com/1178879.html,德芙Dove丝滑牛奶巧克力分享碗装 252g 代言人同款 休闲零食婚庆糖果礼品（新旧包装随机发放）,巧克力,【与你巧遇预售甜蜜】双11狂欢预售开启啦！甜蜜芙礼部分抢券满199减99元。更多美妙趣食，丝滑你的味蕾！点击速抢！查看,,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,自营
30.9,30.9,https://item.jd.com/1178886.html,德芙Dove香浓黑巧克力分享碗装 252g 代言人同款办可可脂公室零食婚庆喜糖(新旧包装随机发放),巧克力,【与你巧遇预售甜蜜】双11狂欢预售开启啦！甜蜜芙礼部分抢券满199减99元。更多美妙趣食，丝滑你的味蕾！点击速抢！查看,,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,自营
139.9,139.9,https://item.jd.com/730614.html,费列罗(FERRERO)榛果威化糖果巧克力制品 婚庆喜糖零食伴手礼 节日礼物员工福利 48粒礼盒装600g 金榜推荐,巧克力,"【费列罗健达巧克力*双11全球热爱季】10月20日20点火热开启，定金抢先付，尾款享立减！超值优惠享不停！加入会员领券且可抽超值大奖,点击查看更多优惠进入",,https://mall.jd.com/index-1000072521.html?from=pc,费列罗京东自营旗舰店,"自营
								满49-20"
30.9,30.9,https://item.jd.com/1178877.html,德芙什锦碗装三种口味混合 249g 代言人同款 休闲零食礼物礼品（新旧包装随机发放）,,【与你巧遇预售甜蜜】双11狂欢预售开启啦！甜蜜芙礼部分抢券满199减99元。更多美妙趣食，丝滑你的味蕾！点击速抢！查看,,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,"自营
								赠"
149,149,https://item.jd.com/1950414.html,瑞士莲（Lindt）瑞士进口 软心精选巧克力分享装600g 婚庆喜糖零食伴手礼,巧克力,意大利进口，600g软心精选量贩装，5种口味随心享，品味颗颗幼滑软心，,,https://mall.jd.com/index-1000081022.html?from=pc,瑞士莲京东自营旗舰店,"自营
								品质溯源
								满139-10"
25.9,25.9,https://item.jd.com/539384.html,脆香米 牛奶巧克力碗装216g 糖果休闲食品分享零食礼物礼品（新旧包装随机发放),巧克力,,,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,自营
53.5,53.5,https://item.jd.com/4847644.html,好时之吻 Kisses 眩彩 多口味糖果巧克力 糖果零食  婚庆喜糖 散装  500g,巧克力,好时之吻 Kisses 眩彩 多口味糖果巧克力 糖果零食  婚庆喜糖 散装  500g,,https://mall.jd.com/index-1000075682.html?from=pc,好时京东自营旗舰店,"自营
								放心购
								品质溯源"
399,399,https://item.jd.com/100032537582.html,歌帝梵GODIVA比利时进口夹心巧克力金装25枚万圣节礼物送儿童女友女朋友男朋友生日礼物情人节巧克力礼盒装,巧克力,歌帝梵GODIVA比利时进口夹心巧克力金装25枚万圣节礼物送儿童女友女朋友男朋友生日礼物情人节巧克力礼盒装,,https://mall.jd.com/index-1000351986.html?from=pc,GODIVA/歌帝梵京东自营专区,"自营
								2件9折"
30.9,30.9,https://item.jd.com/1178880.html,德芙Dove榛仁葡萄干巧克力分享碗装 243g 代言人同款 零食糖果婚庆喜糖（新旧包装随机发放）,巧克力,【与你巧遇预售甜蜜】双11狂欢预售开启啦！甜蜜芙礼部分抢券满199减99元。更多美妙趣食，丝滑你的味蕾！点击速抢！查看,,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,自营
69,69,https://item.jd.com/319460.html,意大利进口 瑞士莲（Lindt）软心精选巧克力分享装200g-辛芷蕾同款,巧克力,意大利进口，600g软心精选量贩装，5种口味随心享，品味颗颗幼滑软心，(此商品不参加上述活动),,https://mall.jd.com/index-1000081022.html?from=pc,瑞士莲京东自营旗舰店,"自营
								品质溯源
								2件9折"
30.9,30.9,https://item.jd.com/1178887.html,德芙Dove奶香白巧克力分享碗装 252g 代言人同款办公室零食礼品婚庆喜糖,巧克力,【与你巧遇预售甜蜜】双11狂欢预售开启啦！甜蜜芙礼部分抢券满199减99元。更多美妙趣食，丝滑你的味蕾！点击速抢！查看,,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,自营
266,266,https://item.jd.com/10062681381002.html,LADERACH 莱德拉64%70%80%黑巧克力 瑞士进口纯可可脂 高端手工零食 纪念日婚庆伴手礼 【预售】焦糖牛奶白巧克力3种口味组合,巧克力,,,https://mall.jd.com/index-11439527.html?from=pc,LADERACH旗舰店,
41.9,41.9,https://item.jd.com/1178893.html,德芙 Dove分享碗装66%可可脂醇黑巧克力 252g 代言人同款糖果巧克力 休闲零食婚庆喜糖,巧克力,【与你巧遇预售甜蜜】双11狂欢预售开启啦！甜蜜芙礼部分抢券满199减99元。更多美妙趣食，丝滑你的味蕾！点击速抢！查看,,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,自营
258,258,https://item.jd.com/100018265891.html,歌帝梵GODIVA比利时进口夹心巧克力金装15枚万圣节礼物送儿童女友女朋友男朋友生日礼物情人节巧克力礼盒装,巧克力,歌帝梵GODIVA比利时进口夹心巧克力金装15枚万圣节礼物送儿童女友女朋友男朋友生日礼物情人节巧克力礼盒装,,https://mall.jd.com/index-1000351986.html?from=pc,GODIVA/歌帝梵京东自营专区,"自营
								2件9折"
53.9,53.9,https://item.jd.com/100034992588.html,德芙(Dove)牛奶巧克力桶装480g 代言人同款 办公室零食生日礼物休闲零食礼品,巧克力,【与你巧遇预售甜蜜】双11狂欢预售开启啦！甜蜜芙礼部分抢券满199减99元。更多美妙趣食，丝滑你的味蕾！点击速抢！查看,,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,自营
30.9,30.9,https://item.jd.com/1178891.html,德芙Dove 摩卡榛仁巧克力分享碗装243g 代言人同款 婚庆 糖果礼品（新旧包装随机发放）,巧克力,【与你巧遇预售甜蜜】双11狂欢预售开启啦！甜蜜芙礼部分抢券满199减99元。更多美妙趣食，丝滑你的味蕾！点击速抢！查看,,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,自营
159.9,159.9,https://item.jd.com/4485333.html,魔吻（AMOVO）黑巧克力情人节表白礼盒万圣节糖果生日礼物送女友（秘密花园）270克,巧克力,魔吻（AMOVO）女神节黑巧克力礼盒生日礼物送女友（秘密花园）270克,,https://mall.jd.com/index-1000089365.html?from=pc,魔吻京东自营旗舰店,自营
29.5,29.5,https://item.jd.com/988552.html,M&M'S 妙趣畅享牛奶巧克力豆 270g桶装  休闲零食糖果礼物礼品（新旧包装随机发放）,巧克力,,,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,自营
48.53,48.53,https://item.jd.com/1950378.html,费列罗(FERRERO)榛果威化糖果巧克力制品 婚庆喜糖零食伴手礼 员工福利节日团聚送礼 15粒礼盒装187.5g,巧克力,"【费列罗健达巧克力*双11全球热爱季】10月20日20点火热开启，定金抢先付，尾款享立减！超值优惠享不停！加入会员领券且可抽超值大奖,点击查看更多优惠进入",,https://mall.jd.com/index-1000072521.html?from=pc,费列罗京东自营旗舰店,"自营
								赠"
22.9,22.9,https://item.jd.com/508480.html,三角Toblerone瑞士进口牛奶巧克力含蜂蜜及巴旦木糖果儿童休闲零食100g/条 生日礼物节日礼品,巧克力,三角Toblerone瑞士进口牛奶巧克力含蜂蜜及巴旦木糖果儿童休闲零食100g/条 生日礼物节日礼品,,https://mall.jd.com/index-1000351622.html?from=pc,三角金象巧克力京东自营专区,"自营
								品质溯源
								2件9折"
30.9,30.9,https://item.jd.com/326467.html,士力架花生夹心巧克力（全家桶）460g桶装 王嘉尔代言 食品零食礼物礼品（新旧包装随机发放）,巧克力,【与你巧遇预售甜蜜】双11狂欢预售开启啦！甜蜜芙礼部分抢券满199减99元。更多美妙趣食，丝滑你的味蕾！点击速抢！查看,,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,"自营
								满赠"
45,45,https://item.jd.com/317652.html,费列罗(FERRERO)榛果威化糖果巧克力制品 婚庆喜糖零食伴手礼 员工福利节日礼物 16粒礼盒装200g,巧克力,"【费列罗健达巧克力*双11全球热爱季】10月20日20点火热开启，定金抢先付，尾款享立减！超值优惠享不停！加入会员领券且可抽超值大奖,点击查看更多优惠进入",,https://mall.jd.com/index-1000072521.html?from=pc,费列罗京东自营旗舰店,"自营
								赠"
38,38,https://item.jd.com/100018395425.html,滋露多彩什锦夹心巧克力礼盒装(代可可脂)27粒163g 日本进口松尾Tirol生日礼物送女友,巧克力,日本进口零食专区，精美礼盒，各类零食季节限定款等您选购点击查看！(此商品不参加上述活动),,https://mall.jd.com/index-1000367485.html?from=pc,春捃京东自营旗舰店,"自营
								品质溯源
								2件9折"
129,129,https://item.jd.com/100035393497.html,诺梵金松露巧克力万圣节糖果礼盒纯可可脂生日礼物女情人节礼盒送女友生日礼物大礼包婚庆伴手礼铁盒500g,巧克力,诺梵金松露巧克力万圣节糖果礼盒纯可可脂生日礼物女情人节礼盒送女友生日礼物大礼包婚庆伴手礼铁盒500g,,https://mall.jd.com/index-1000082422.html?from=pc,诺梵京东自营旗舰店,"自营
								新品
								每满119-20"
53.9,53.9,https://item.jd.com/100035179134.html,德芙(Dove)黑巧克力桶装480g 代言人同款 办公室零食生日礼物礼品,巧克力,【与你巧遇预售甜蜜】双11狂欢预售开启啦！甜蜜芙礼部分抢券满199减99元。更多美妙趣食，丝滑你的味蕾！点击速抢！查看,,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,自营
69,69,https://item.jd.com/319459.html,瑞士莲（Lindt）意大利进口 软心60%特浓黑巧克力分享装200g醇厚口感香气浓郁,巧克力,意大利进口，600g软心精选量贩装，5种口味随心享，品味颗颗幼滑软心，(此商品不参加上述活动),,https://mall.jd.com/index-1000081022.html?from=pc,瑞士莲京东自营旗舰店,"自营
								定期
								品质溯源
								满204-27"
69,69,https://item.jd.com/10031865334029.html,瑞士莲软心巧克力500gLindt牛奶夹心球散装万圣节糖果婚礼婚庆生日情人节表白日结婚喜糖520喜酒 多口味混合1斤(随机),巧克力,国内现货，非国外邮寄。放心购买。正品保障，日期新,,https://mall.jd.com/index-11286848.html?from=pc,UNCLE TOM旗舰店,"跨店每满299-50
								满99-8"
29.5,29.5,https://item.jd.com/988585.html,M&M'S 混合巧克力豆270g桶装 休闲妙趣畅享零食糖果礼物礼品（新旧包装随机发放）,巧克力,【与你巧遇预售甜蜜】双11狂欢预售开启啦！甜蜜芙礼部分抢券满199减99元。更多美妙趣食，丝滑你的味蕾！点击速抢！查看,,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,自营
109,109,https://item.jd.com/100006057989.html,爱普诗（Alpes d'Or）85%黑巧克力428g袋装 瑞士进口黑巧办公室零食分享装公司节日福利生日礼物,巧克力,爱普诗（Alpes d'Or）85%黑巧克力428g袋装 瑞士进口黑巧办公室零食分享装公司节日福利生日礼物,,https://mall.jd.com/index-1000303482.html?from=pc,爱普诗（Alpes d'Or）京东自营旗舰店,"自营
								品质溯源"
56.9,56.9,https://item.jd.com/2020621.html,士力架花生夹心巧克力1000g量贩装 王嘉尔代言 礼物礼品横扫饥饿(新旧包装随机发放）,巧克力,,100万+条评价,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,自营
30.9,30.9,https://item.jd.com/1178879.html,德芙Dove丝滑牛奶巧克力分享碗装 252g 代言人同款 休闲零食婚庆糖果礼品（新旧包装随机发放）,巧克力,【与你巧遇预售甜蜜】双11狂欢预售开启啦！甜蜜芙礼部分抢券满199减99元。更多美妙趣食，丝滑你的味蕾！点击速抢！查看,500万+条评价,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,自营
30.9,30.9,https://item.jd.com/1178886.html,德芙Dove香浓黑巧克力分享碗装 252g 代言人同款办可可脂公室零食婚庆喜糖(新旧包装随机发放),巧克力,【与你巧遇预售甜蜜】双11狂欢预售开启啦！甜蜜芙礼部分抢券满199减99元。更多美妙趣食，丝滑你的味蕾！点击速抢！查看,500万+条评价,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,自营
139.9,139.9,https://item.jd.com/730614.html,费列罗(FERRERO)榛果威化糖果巧克力制品 婚庆喜糖零食伴手礼 节日礼物员工福利 48粒礼盒装600g 金榜推荐,巧克力,"【费列罗健达巧克力*双11全球热爱季】10月20日20点火热开启，定金抢先付，尾款享立减！超值优惠享不停！加入会员领券且可抽超值大奖,点击查看更多优惠进入",200万+条评价,https://mall.jd.com/index-1000072521.html?from=pc,费列罗京东自营旗舰店,"自营
								满49-20"
30.9,30.9,https://item.jd.com/1178877.html,德芙什锦碗装三种口味混合 249g 代言人同款 休闲零食礼物礼品（新旧包装随机发放）,,【与你巧遇预售甜蜜】双11狂欢预售开启啦！甜蜜芙礼部分抢券满199减99元。更多美妙趣食，丝滑你的味蕾！点击速抢！查看,500万+条评价,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,"自营
								赠"
149,149,https://item.jd.com/1950414.html,瑞士莲（Lindt）瑞士进口 软心精选巧克力分享装600g 婚庆喜糖零食伴手礼,巧克力,意大利进口，600g软心精选量贩装，5种口味随心享，品味颗颗幼滑软心，,20万+条评价,https://mall.jd.com/index-1000081022.html?from=pc,瑞士莲京东自营旗舰店,"自营
								品质溯源
								满139-10"
25.9,25.9,https://item.jd.com/539384.html,脆香米 牛奶巧克力碗装216g 糖果休闲食品分享零食礼物礼品（新旧包装随机发放),巧克力,,100万+条评价,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,自营
53.5,53.5,https://item.jd.com/4847644.html,好时之吻 Kisses 眩彩 多口味糖果巧克力 糖果零食  婚庆喜糖 散装  500g,巧克力,好时之吻 Kisses 眩彩 多口味糖果巧克力 糖果零食  婚庆喜糖 散装  500g,50万+条评价,https://mall.jd.com/index-1000075682.html?from=pc,好时京东自营旗舰店,"自营
								放心购
								品质溯源"
399,399,https://item.jd.com/100032537582.html,歌帝梵GODIVA比利时进口夹心巧克力金装25枚万圣节礼物送儿童女友女朋友男朋友生日礼物情人节巧克力礼盒装,巧克力,歌帝梵GODIVA比利时进口夹心巧克力金装25枚万圣节礼物送儿童女友女朋友男朋友生日礼物情人节巧克力礼盒装,2万+条评价条评价,https://mall.jd.com/index-1000351986.html?from=pc,GODIVA/歌帝梵京东自营专区,"自营
								2件9折"
30.9,30.9,https://item.jd.com/1178880.html,德芙Dove榛仁葡萄干巧克力分享碗装 243g 代言人同款 零食糖果婚庆喜糖（新旧包装随机发放）,巧克力,【与你巧遇预售甜蜜】双11狂欢预售开启啦！甜蜜芙礼部分抢券满199减99元。更多美妙趣食，丝滑你的味蕾！点击速抢！查看,500万+条评价,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,自营
69,69,https://item.jd.com/319460.html,意大利进口 瑞士莲（Lindt）软心精选巧克力分享装200g-辛芷蕾同款,巧克力,意大利进口，600g软心精选量贩装，5种口味随心享，品味颗颗幼滑软心，(此商品不参加上述活动),20万+条评价,https://mall.jd.com/index-1000081022.html?from=pc,瑞士莲京东自营旗舰店,"自营
								品质溯源
								2件9折"
30.9,30.9,https://item.jd.com/1178887.html,德芙Dove奶香白巧克力分享碗装 252g 代言人同款办公室零食礼品婚庆喜糖,巧克力,【与你巧遇预售甜蜜】双11狂欢预售开启啦！甜蜜芙礼部分抢券满199减99元。更多美妙趣食，丝滑你的味蕾！点击速抢！查看,500万+条评价,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,自营
266,266,https://item.jd.com/10062681381002.html,LADERACH 莱德拉64%70%80%黑巧克力 瑞士进口纯可可脂 高端手工零食 纪念日婚庆伴手礼 【预售】焦糖牛奶白巧克力3种口味组合,巧克力,,200+条评价,https://mall.jd.com/index-11439527.html?from=pc,LADERACH旗舰店,
41.9,41.9,https://item.jd.com/1178893.html,德芙 Dove分享碗装66%可可脂醇黑巧克力 252g 代言人同款糖果巧克力 休闲零食婚庆喜糖,巧克力,【与你巧遇预售甜蜜】双11狂欢预售开启啦！甜蜜芙礼部分抢券满199减99元。更多美妙趣食，丝滑你的味蕾！点击速抢！查看,500万+条评价,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,自营
258,258,https://item.jd.com/100018265891.html,歌帝梵GODIVA比利时进口夹心巧克力金装15枚万圣节礼物送儿童女友女朋友男朋友生日礼物情人节巧克力礼盒装,巧克力,歌帝梵GODIVA比利时进口夹心巧克力金装15枚万圣节礼物送儿童女友女朋友男朋友生日礼物情人节巧克力礼盒装,2万+条评价,https://mall.jd.com/index-1000351986.html?from=pc,GODIVA/歌帝梵京东自营专区,"自营
								2件9折"
53.9,53.9,https://item.jd.com/100034992588.html,德芙(Dove)牛奶巧克力桶装480g 代言人同款 办公室零食生日礼物休闲零食礼品,巧克力,【与你巧遇预售甜蜜】双11狂欢预售开启啦！甜蜜芙礼部分抢券满199减99元。更多美妙趣食，丝滑你的味蕾！点击速抢！查看,20万+条评价,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,自营
30.9,30.9,https://item.jd.com/1178891.html,德芙Dove 摩卡榛仁巧克力分享碗装243g 代言人同款 婚庆 糖果礼品（新旧包装随机发放）,巧克力,【与你巧遇预售甜蜜】双11狂欢预售开启啦！甜蜜芙礼部分抢券满199减99元。更多美妙趣食，丝滑你的味蕾！点击速抢！查看,500万+条评价,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,自营
159.9,159.9,https://item.jd.com/4485333.html,魔吻（AMOVO）黑巧克力情人节表白礼盒万圣节糖果生日礼物送女友（秘密花园）270克,巧克力,魔吻（AMOVO）女神节黑巧克力礼盒生日礼物送女友（秘密花园）270克,5万+条评价,https://mall.jd.com/index-1000089365.html?from=pc,魔吻京东自营旗舰店,自营
29.5,29.5,https://item.jd.com/988552.html,M&M'S 妙趣畅享牛奶巧克力豆 270g桶装  休闲零食糖果礼物礼品（新旧包装随机发放）,巧克力,,50万+条评价条评价,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,自营
48.53,48.53,https://item.jd.com/1950378.html,费列罗(FERRERO)榛果威化糖果巧克力制品 婚庆喜糖零食伴手礼 员工福利节日团聚送礼 15粒礼盒装187.5g,巧克力,"【费列罗健达巧克力*双11全球热爱季】10月20日20点火热开启，定金抢先付，尾款享立减！超值优惠享不停！加入会员领券且可抽超值大奖,点击查看更多优惠进入",50万+条评价,https://mall.jd.com/index-1000072521.html?from=pc,费列罗京东自营旗舰店,"自营
								赠"
22.9,22.9,https://item.jd.com/508480.html,三角Toblerone瑞士进口牛奶巧克力含蜂蜜及巴旦木糖果儿童休闲零食100g/条 生日礼物节日礼品,巧克力,三角Toblerone瑞士进口牛奶巧克力含蜂蜜及巴旦木糖果儿童休闲零食100g/条 生日礼物节日礼品,50万+条评价,https://mall.jd.com/index-1000351622.html?from=pc,三角金象巧克力京东自营专区,"自营
								品质溯源
								2件9折"
30.9,30.9,https://item.jd.com/326467.html,士力架花生夹心巧克力（全家桶）460g桶装 王嘉尔代言 食品零食礼物礼品（新旧包装随机发放）,巧克力,【与你巧遇预售甜蜜】双11狂欢预售开启啦！甜蜜芙礼部分抢券满199减99元。更多美妙趣食，丝滑你的味蕾！点击速抢！查看,200万+条评价,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,"自营
								满赠"
45,45,https://item.jd.com/317652.html,费列罗(FERRERO)榛果威化糖果巧克力制品 婚庆喜糖零食伴手礼 员工福利节日礼物 16粒礼盒装200g,巧克力,"【费列罗健达巧克力*双11全球热爱季】10月20日20点火热开启，定金抢先付，尾款享立减！超值优惠享不停！加入会员领券且可抽超值大奖,点击查看更多优惠进入",200万+条评价,https://mall.jd.com/index-1000072521.html?from=pc,费列罗京东自营旗舰店,"自营
								赠"
38,38,https://item.jd.com/100018395425.html,滋露多彩什锦夹心巧克力礼盒装(代可可脂)27粒163g 日本进口松尾Tirol生日礼物送女友,巧克力,日本进口零食专区，精美礼盒，各类零食季节限定款等您选购点击查看！(此商品不参加上述活动),2000+条评价,https://mall.jd.com/index-1000367485.html?from=pc,春捃京东自营旗舰店,"自营
								品质溯源
								2件9折"
129,129,https://item.jd.com/100035393497.html,诺梵金松露巧克力万圣节糖果礼盒纯可可脂生日礼物女情人节礼盒送女友生日礼物大礼包婚庆伴手礼铁盒500g,巧克力,诺梵金松露巧克力万圣节糖果礼盒纯可可脂生日礼物女情人节礼盒送女友生日礼物大礼包婚庆伴手礼铁盒500g,50万+条评价,https://mall.jd.com/index-1000082422.html?from=pc,诺梵京东自营旗舰店,"自营
								新品
								每满119-20"
53.9,53.9,https://item.jd.com/100035179134.html,德芙(Dove)黑巧克力桶装480g 代言人同款 办公室零食生日礼物礼品,巧克力,【与你巧遇预售甜蜜】双11狂欢预售开启啦！甜蜜芙礼部分抢券满199减99元。更多美妙趣食，丝滑你的味蕾！点击速抢！查看,20万+条评价,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,自营
69,69,https://item.jd.com/319459.html,瑞士莲（Lindt）意大利进口 软心60%特浓黑巧克力分享装200g醇厚口感香气浓郁,巧克力,意大利进口，600g软心精选量贩装，5种口味随心享，品味颗颗幼滑软心，(此商品不参加上述活动),20万+条评价条评价,https://mall.jd.com/index-1000081022.html?from=pc,瑞士莲京东自营旗舰店,"自营
								定期
								品质溯源
								满204-27"
69,69,https://item.jd.com/10031865334029.html,瑞士莲软心巧克力500gLindt牛奶夹心球散装万圣节糖果婚礼婚庆生日情人节表白日结婚喜糖520喜酒 多口味混合1斤(随机),巧克力,国内现货，非国外邮寄。放心购买。正品保障，日期新,1万+条评价,https://mall.jd.com/index-11286848.html?from=pc,UNCLE TOM旗舰店,"跨店每满299-50
								满99-8"
29.5,29.5,https://item.jd.com/988585.html,M&M'S 混合巧克力豆270g桶装 休闲妙趣畅享零食糖果礼物礼品（新旧包装随机发放）,巧克力,【与你巧遇预售甜蜜】双11狂欢预售开启啦！甜蜜芙礼部分抢券满199减99元。更多美妙趣食，丝滑你的味蕾！点击速抢！查看,50万+条评价,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,自营
109,109,https://item.jd.com/100006057989.html,爱普诗（Alpes d'Or）85%黑巧克力428g袋装 瑞士进口黑巧办公室零食分享装公司节日福利生日礼物,巧克力,爱普诗（Alpes d'Or）85%黑巧克力428g袋装 瑞士进口黑巧办公室零食分享装公司节日福利生日礼物,20万+条评价条评价,https://mall.jd.com/index-1000303482.html?from=pc,爱普诗（Alpes d'Or）京东自营旗舰店,"自营
								品质溯源"
49.9,49.9,https://item.jd.com/3397830.html,好时 Hershey’s 黑巧克力 排块 办公室休闲  零食 家庭分享装 婚庆喜糖 210g,巧克力,,20万+条评价,https://mall.jd.com/index-1000075682.html?from=pc,好时京东自营旗舰店,自营
228,228,https://item.jd.com/100015003618.html,歌帝梵(GODIVA) 臻粹巧克力制品礼盒精选20颗装 万圣节感恩节礼物送女友糖果巧克力礼盒 节日礼物两种口味,巧克力,【限时折上折】部分产品129打9折，169打8折!! 【下单有礼】尊享宅家美食，赠专属礼袋! 【下单赠豆】会员专享下单即赠300京豆!速戳》,5万+条评价,https://mall.jd.com/index-1000395803.html?from=pc,歌帝梵（Godiva）臻享京东自营旗舰店,"自营
								品质溯源
								3件8折
								赠"
109,109,https://item.jd.com/100006057989.html,爱普诗（Alpes d'Or）85%黑巧克力428g袋装 瑞士进口黑巧办公室零食分享装公司节日福利生日礼物,巧克力,爱普诗（Alpes d'Or）85%黑巧克力428g袋装 瑞士进口黑巧办公室零食分享装公司节日福利生日礼物,20万+条评价,https://mall.jd.com/index-1000303482.html?from=pc,爱普诗（Alpes d'Or）京东自营旗舰店,"自营
								品质溯源"
398,398,https://item.jd.com/100032537576.html,歌帝梵GODIVA比利时进口松露15枚万圣节礼物送儿童女友女朋友男朋友生日礼物情人节表白巧克力礼盒装,巧克力,歌帝梵GODIVA比利时进口松露15枚万圣节礼物送儿童女友女朋友男朋友生日礼物情人节表白巧克力礼盒装,2万+条评价,https://mall.jd.com/index-1000351986.html?from=pc,GODIVA/歌帝梵京东自营专区,"自营
								2件9折"
49.9,49.9,https://item.jd.com/10047170029863.html,德芙（Dove） 丝滑牛奶巧克力224gx2盒排块原装办公休闲零食生日礼物送女孩男孩万圣节糖果礼物 丝滑牛奶14g×16（2盒装）,巧克力,德芙（Dove） 丝滑牛奶巧克力224gx2盒排块原装办公休闲零食生日礼物送女孩男孩万圣节糖果礼物 丝滑牛奶14g×16（2盒装）,1万+条评价,https://mall.jd.com/index-10258870.html?from=pc,德芙爱唯一专卖店,"京东物流
								跨店每满299-50
								券2-1"
110.8,110.8,https://item.jd.com/100001484098.html,魔吻（AMOVO）巧克力情人节礼盒万圣节糖果纯可可脂生日礼物送女友(绯色之吻)170克,巧克力,表白经典彩绘颗粒经典款礼盒,5万+条评价,https://mall.jd.com/index-1000089365.html?from=pc,魔吻京东自营旗舰店,自营
336,336,https://item.jd.com/26014180154.html,瑞士莲 Lindt 软心进口巧克力精选巧克力600g*2分享装5种口味 软心精选巧克力600g*2,巧克力,,1000+条评价,https://mall.jd.com/index-21779.html?from=pc,瑞士莲官方旗舰店,
