价格,评价数,德芙,好时,费列罗,Meiji,歌帝梵,牛奶巧克力,夹心巧克力,黑巧克力,榛果
56.9,1000000.0,0,0,0,0,0,0,1,0,0
30.9,5000000.0,1,0,0,0,0,1,0,0,0
30.9,5000000.0,1,0,0,0,0,0,0,1,0
139.9,2000000.0,0,0,1,0,0,0,0,0,1
30.9,5000000.0,1,0,0,0,0,0,0,0,0
149.0,200000.0,0,0,0,0,0,0,0,0,0
25.9,1000000.0,0,0,0,0,0,1,0,0,0
53.5,500000.0,0,1,0,0,0,0,0,0,0
399.0,20000.0,0,0,0,0,1,0,1,0,0
30.9,5000000.0,1,0,0,0,0,0,0,0,0
69.0,200000.0,0,0,0,0,0,0,0,0,0
30.9,5000000.0,1,0,0,0,0,0,0,0,0
266.0,200.0,0,0,0,0,0,0,0,1,0
41.9,5000000.0,1,0,0,0,0,0,0,1,0
258.0,20000.0,0,0,0,0,1,0,1,0,0
53.9,200000.0,1,0,0,0,0,1,0,0,0
30.9,5000000.0,1,0,0,0,0,0,0,0,0
159.9,50000.0,0,0,0,0,0,0,0,1,0
29.5,500000.0,0,0,0,0,0,1,0,0,0
48.53,500000.0,0,0,1,0,0,0,0,0,1
22.9,500000.0,0,0,0,0,0,1,0,0,0
30.9,2000000.0,0,0,0,0,0,0,1,0,0
45.0,2000000.0,0,0,1,0,0,0,0,0,1
38.0,2000.0,0,0,0,0,0,0,1,0,0
129.0,500000.0,0,0,0,0,0,0,0,0,0
53.9,200000.0,1,0,0,0,0,0,0,1,0
69.0,200000.0,0,0,0,0,0,0,0,1,0
69.0,10000.0,0,0,0,0,0,0,0,0,0
29.5,500000.0,0,0,0,0,0,0,0,0,0
109.0,200000.0,0,0,0,0,0,0,0,1,0
49.9,200000.0,0,1,0,0,0,0,0,1,0
228.0,50000.0,0,0,0,0,1,0,0,0,0
109.0,200000.0,0,0,0,0,0,0,0,1,0
398.0,20000.0,0,0,0,0,1,0,0,0,0
49.9,10000.0,1,0,0,0,0,1,0,0,0
110.8,50000.0,0,0,0,0,0,0,0,0,0
336.0,1000.0,0,0,0,0,0,0,0,0,0
88.0,5000.0,0,0,1,0,0,0,0,0,1
178.0,5000.0,0,0,0,0,0,0,0,0,0
149.0,200000.0,0,0,0,0,0,0,0,1,0
69.0,200000.0,0,0,0,0,0,0,0,1,0
198.0,20000.0,0,0,0,0,0,0,1,0,1
118.0,20000.0,0,0,0,0,0,0,0,0,0
33.6,2000.0,0,0,0,0,0,0,1,0,0
81.0,20000.0,0,0,0,0,1,0,0,1,0
120.0,500000.0,0,0,0,0,0,1,0,0,0
48.9,200000.0,1,0,0,0,0,1,0,0,0
99.9,2000000.0,0,0,1,0,0,0,0,0,1
39.5,500000.0,0,0,0,0,0,0,1,0,0
17.5,200000.0,1,0,0,0,0,1,0,0,0
18.8,200000.0,0,0,0,0,0,0,0,0,1
69.8,200000.0,0,0,0,0,0,0,1,0,0
139.9,200000.0,0,0,0,0,0,0,0,0,0
69.0,200000.0,0,0,0,0,0,1,0,0,0
399.0,20000.0,0,0,0,0,1,0,1,0,0
31.9,200000.0,1,0,0,0,0,0,0,1,0
109.0,200.0,0,0,0,0,0,0,0,1,0
29.5,500000.0,0,0,0,0,0,1,0,0,0
109.0,5000.0,0,0,0,0,0,0,0,1,0
132.9,500000.0,0,0,1,0,0,0,0,0,1
118.0,10000.0,0,0,0,0,0,0,0,0,0
29.0,100000.0,0,0,0,0,0,0,0,1,0
49.9,50000.0,0,0,0,0,0,0,0,0,0
159.9,50000.0,0,0,0,0,0,0,0,1,0
68.0,50000.0,0,0,1,0,0,0,0,0,1
143.0,50000.0,0,0,1,0,0,0,0,0,0
38.9,200000.0,0,0,0,0,0,0,0,1,0
33.9,200000.0,0,0,0,0,0,0,0,1,0
13.9,1000000.0,0,0,0,0,0,0,0,0,0
98.0,20000.0,0,0,0,0,0,0,0,0,0
89.0,20000.0,0,0,0,0,0,0,0,1,0
113.0,500.0,0,0,0,0,0,1,0,1,0
119.0,50000.0,0,0,0,0,1,0,0,0,0
38.0,2000.0,0,0,0,0,0,0,1,0,0
22.9,500000.0,0,0,0,0,0,0,0,1,0
149.9,500000.0,0,0,1,0,0,0,0,0,0
129.8,500000.0,0,0,1,0,0,0,0,0,0
30.9,5000000.0,1,0,0,0,0,1,0,0,0
17.5,200000.0,1,0,0,0,0,0,0,1,0
32.0,500000.0,0,0,0,0,0,0,1,0,0
32.0,200000.0,0,0,1,0,0,0,0,0,0
65.0,20000.0,0,0,1,0,0,0,0,0,0
64.9,50000.0,0,0,0,0,0,0,0,1,0
99.0,0.0,0,0,1,0,0,0,0,0,0
53.9,500000.0,1,0,0,0,0,0,0,0,0
45.0,20000.0,0,0,0,1,0,0,1,0,0
149.0,50000.0,0,0,0,0,0,0,0,0,0
9.91,2000000.0,0,0,1,0,0,0,0,0,1
49.9,200000.0,0,1,0,0,0,0,0,1,0
29.5,500000.0,0,0,0,0,0,1,0,0,0
29.5,500000.0,0,0,0,0,0,1,0,0,0
198.0,100000.0,0,0,1,0,0,0,0,0,1
36.9,500.0,0,0,0,0,0,1,0,0,0
49.9,50000.0,0,0,0,0,0,0,0,1,0
98.0,1000.0,0,0,0,0,0,0,0,1,0
128.0,50000.0,0,0,1,0,0,0,0,0,1
55.0,2000.0,0,0,0,0,1,1,0,0,0
69.9,500000.0,0,0,0,0,0,1,0,0,0
79.0,100000.0,0,0,1,0,0,0,1,0,1
258.0,20000.0,0,0,0,0,1,0,1,0,0
99.0,200000.0,0,0,0,0,0,0,0,1,0
68.9,100000.0,0,0,0,0,0,0,0,1,0
78.0,50000.0,0,0,1,0,0,0,0,0,1
25.8,500000.0,0,0,0,0,0,0,0,1,0
19.9,100000.0,0,0,0,0,0,0,0,1,0
312.55,5000.0,0,0,0,0,1,0,0,0,0
169.9,50000.0,0,0,0,0,0,0,0,0,0
22.9,500000.0,0,0,0,0,0,0,0,0,0
19.9,50000.0,0,0,0,0,0,1,0,0,0
9.9,200000.0,1,0,0,0,0,0,1,0,0
21.9,10000.0,0,0,0,0,0,0,0,1,0
139.9,2000000.0,0,0,1,0,0,0,0,0,1
58.5,50000.0,0,0,0,0,0,0,0,1,0
62.0,500.0,0,0,0,0,0,1,1,0,0
75.0,200000.0,0,0,1,0,0,0,0,0,1
109.0,2000.0,0,0,0,0,0,0,0,1,0
19.9,200000.0,0,0,0,0,0,0,0,1,0
139.9,100000.0,0,0,1,0,0,0,0,0,1
49.0,20000.0,1,0,0,0,0,0,0,0,0
32.0,100000.0,0,0,0,0,0,1,0,0,0
99.0,100000.0,1,0,0,0,0,0,0,0,0
39.0,20000.0,1,0,0,0,0,0,0,0,0
59.8,10000.0,0,0,0,0,0,0,1,0,0
48.9,200000.0,1,0,0,0,0,1,0,0,0
79.9,2000.0,0,0,1,0,0,0,0,0,1
43.89,50000.0,0,0,0,0,0,0,0,0,0
19.9,200000.0,0,0,0,0,0,0,0,1,0
39.9,10000.0,0,0,0,0,0,1,0,0,0
19.9,200000.0,0,0,0,0,0,0,0,1,0
149.9,1000000.0,0,0,1,0,0,0,0,0,1
110.8,10000.0,0,0,0,0,0,0,0,0,0
15.6,10000.0,0,0,0,0,0,0,0,1,0
14.9,20000.0,0,0,0,0,0,0,0,1,0
79.0,50000.0,1,0,0,0,0,0,0,0,0
76.5,2000.0,0,0,0,0,0,0,0,1,0
19.9,500000.0,0,0,0,0,0,0,0,0,0
19.9,10000.0,0,0,0,0,0,0,0,1,0
15.9,2000.0,0,0,0,0,0,0,0,0,0
39.0,20000.0,1,0,0,0,0,0,0,0,0
26.8,20000.0,1,0,0,0,0,0,0,0,0
29.9,20000.0,0,1,0,0,0,0,0,0,0
58.7,10000.0,0,0,0,0,0,0,1,0,0
93.0,50000.0,1,0,0,0,0,0,0,0,0
11.9,200000.0,1,0,0,0,0,0,0,0,0
55.0,20000.0,1,0,0,0,0,0,0,0,0
39.0,20000.0,1,0,0,0,0,0,0,0,0
409.0,5000.0,0,0,0,0,1,0,0,0,0
19.9,2000.0,0,0,0,0,0,1,0,0,0
35.9,500000.0,1,0,0,0,0,0,1,0,0
23.8,5000.0,1,0,0,0,0,0,0,0,0
83.76,1000.0,0,0,0,0,0,1,0,0,0
53.0,5000.0,1,0,0,0,0,0,0,0,0
149.0,200000.0,0,0,0,0,0,0,0,0,0
13.9,100000.0,1,0,0,0,0,0,0,1,0
29.8,20000.0,1,0,0,0,0,1,0,0,0
59.9,75.0,0,0,0,0,0,0,0,0,0
19.8,100.0,1,0,0,0,0,0,0,0,0
34.9,500.0,0,0,0,0,0,0,0,0,0
55.0,2000.0,0,0,0,0,1,0,0,1,0
49.9,5000.0,0,0,0,0,0,0,0,0,0
21.8,2000.0,1,0,0,0,0,0,0,1,0
24.8,5000.0,1,0,0,0,0,1,0,0,0
68.0,20000.0,1,0,1,0,0,0,0,0,0
5.9,200000.0,1,0,0,0,0,1,0,0,0
30.9,2000000.0,0,0,0,0,0,0,1,0,0
7.49,200000.0,0,0,0,0,0,0,0,0,1
23.9,5000.0,0,0,0,0,0,0,0,1,0
109.0,20000.0,0,0,0,0,0,0,0,1,0
29.9,10000.0,0,0,0,0,0,0,1,0,0
31.9,500.0,0,0,0,0,0,1,0,0,0
35.8,20000.0,0,0,0,0,0,0,0,1,0
19.9,50000.0,0,0,0,0,0,1,0,0,0
9.9,200.0,0,0,0,0,0,0,0,1,0
27.9,5000.0,0,0,0,0,0,0,1,0,0
79.0,10000.0,0,0,0,0,0,0,0,0,0
36.0,100.0,1,0,0,0,0,0,0,0,0
39.9,20000.0,0,0,0,1,0,1,0,0,0
49.9,2000.0,0,0,0,0,0,0,0,0,0
119.0,500000.0,1,0,0,0,0,0,0,0,0
58.0,10000.0,0,1,0,0,0,0,0,0,0
45.9,100000.0,1,0,0,0,0,0,0,0,0
19.9,100000.0,0,0,0,0,0,0,0,1,0
49.9,50000.0,0,0,0,0,0,0,0,1,0
19.9,500000.0,0,0,0,0,0,0,0,1,0
86.9,500000.0,0,1,0,0,0,1,0,0,0
39.9,2000.0,0,0,0,0,0,1,0,0,0
26.9,1000.0,0,0,0,0,0,1,0,1,0
149.0,200000.0,0,0,0,0,0,0,0,0,0
19.9,200.0,0,0,0,0,0,0,0,0,0
85.0,2000.0,0,0,0,0,0,0,0,1,0
59.0,10000.0,1,0,0,0,0,1,0,0,0
158.0,5000.0,0,0,0,0,0,0,0,0,0
12.5,500.0,0,0,0,0,0,0,0,1,0
15.0,10000.0,0,0,0,1,0,1,0,0,0
118.0,20000.0,0,0,0,0,0,0,0,0,0
69.9,20000.0,0,0,0,0,0,0,0,0,0
178.0,20000.0,0,0,0,0,0,0,0,0,1
49.9,200000.0,0,1,0,0,0,1,0,0,0
89.0,50000.0,1,0,0,0,0,0,0,0,0
14.9,20000.0,0,0,0,0,0,0,0,1,0
68.0,10000.0,0,0,0,0,0,0,0,0,0
136.0,50000.0,0,0,1,0,0,0,0,0,0
268.9,500000.0,0,0,1,0,0,0,0,0,1
19.9,100000.0,0,0,0,0,0,0,0,1,0
39.0,100000.0,0,0,1,0,0,0,0,0,1
19.9,10000.0,0,0,0,0,0,0,0,1,0
69.0,200000.0,0,0,0,0,0,0,0,1,0
110.9,500000.0,0,0,1,0,0,0,0,0,1
60.0,2000.0,0,0,0,1,0,1,0,1,0
129.8,500000.0,0,0,1,0,0,0,0,0,0
116.16,10000.0,0,0,0,0,0,0,0,1,0
128.0,100000.0,0,0,1,0,0,0,0,0,1
69.0,50000.0,0,0,0,0,0,0,0,0,0
39.9,2000.0,0,0,0,0,0,0,1,0,0
208.0,2000.0,0,0,0,0,1,0,0,1,0
129.0,500000.0,0,0,0,0,0,0,0,0,0
7.8,200000.0,0,1,0,0,0,0,0,0,0
118.0,20000.0,0,0,0,0,0,0,0,0,0
48.0,50000.0,0,0,0,0,0,1,0,0,0
19.9,500.0,0,0,0,0,0,0,0,1,0
129.0,200000.0,0,0,0,0,0,0,0,1,0
128.0,500.0,1,0,0,0,0,0,0,0,0
78.0,500.0,0,0,0,0,0,0,0,1,0
33.9,500.0,0,0,0,0,0,0,1,0,0
58.6,20000.0,0,0,0,0,0,0,0,1,0
29.9,20000.0,1,0,0,0,0,0,0,0,0
49.9,50000.0,0,0,0,0,0,1,0,0,0
26.9,200000.0,0,0,1,0,0,0,0,0,0
25.8,100000.0,0,0,0,0,0,0,0,1,0
39.9,1000.0,0,1,0,0,0,0,0,0,0
12.5,500.0,0,0,0,0,0,0,0,1,0
79.9,500000.0,0,1,0,0,0,0,0,0,0
32.0,1000.0,0,0,0,1,0,0,1,0,0
