价格,商品名称,评价数
30.9,德芙Dove丝滑牛奶巧克力分享碗装 252g 代言人同款 休闲零食婚庆糖果礼品（新旧包装随机发放）,5000000
30.9,德芙Dove香浓黑巧克力分享碗装 252g 代言人同款办可可脂公室零食婚庆喜糖(新旧包装随机发放),5000000
139.9,费列罗(FERRERO)榛果威化糖果巧克力制品 婚庆喜糖零食伴手礼 节日礼物员工福利 48粒礼盒装600g 金榜推荐,2000000
399,歌帝梵GODIVA比利时进口夹心巧克力金装25枚万圣节礼物送儿童女友女朋友男朋友生日礼物情人节巧克力礼盒装,20000
41.9,德芙 Dove分享碗装66%可可脂醇黑巧克力 252g 代言人同款糖果巧克力 休闲零食婚庆喜糖,5000000
258,歌帝梵GODIVA比利时进口夹心巧克力金装15枚万圣节礼物送儿童女友女朋友男朋友生日礼物情人节巧克力礼盒装,20000
53.9,德芙(Dove)牛奶巧克力桶装480g 代言人同款 办公室零食生日礼物休闲零食礼品,200000
48.53,费列罗(FERRERO)榛果威化糖果巧克力制品 婚庆喜糖零食伴手礼 员工福利节日团聚送礼 15粒礼盒装187.5g,500000
45,费列罗(FERRERO)榛果威化糖果巧克力制品 婚庆喜糖零食伴手礼 员工福利节日礼物 16粒礼盒装200g,2000000
53.9,德芙(Dove)黑巧克力桶装480g 代言人同款 办公室零食生日礼物礼品,200000
49.9,好时 Hershey’s 黑巧克力 排块 办公室休闲  零食 家庭分享装 婚庆喜糖 210g,200000
49.9,德芙（Dove） 丝滑牛奶巧克力224gx2盒排块原装办公休闲零食生日礼物送女孩男孩万圣节糖果礼物 丝滑牛奶14g×16（2盒装）,10000
88,费列罗(FERRERO)榛果威化黑巧巧克力 婚庆喜糖零食伴手礼 节日礼物 15粒礼盒装分享装187.5g,5000
81,歌帝梵(GODIVA)醇享系列90%可可黑巧克力制品 80g 进口黑巧克力糖果 纯可可脂制作 办公室加班零食,20000
48.9,德芙（Dove）丝滑牛奶巧克力4.5g 代言人同款 婚庆喜糖节日礼物 500g,200000
99.9,费列罗(FERRERO)榛果威化糖果巧克力制品 员工福利婚庆喜糖零食伴手礼 团聚节日礼物 30粒375g,2000000
17.5,德芙(Dove)牛奶巧克力小碗装112g办公室零食休闲零食礼品礼物,200000
399,歌帝梵GODIVA比利时进口夹心巧克力金装25枚万圣节礼物送儿童女友女朋友男朋友生日礼物情人节巧克力礼盒装,20000
31.9,德芙(Dove)黑巧克力碗装234g办公室零休闲零食生日礼物婚庆喜糖,200000
132.9,费列罗(FERRERO)榛果威化糖果巧克力制品 节日礼物 婚庆喜糖伴手礼员工福利 零食 27粒心形礼盒装337.5g,500000
68,费列罗（FERRERO） 巧克力礼盒装万圣节糖果生日礼物女生情人节礼物送女友榛果婚庆喜糖225g 费列罗18粒金色,50000
30.9,德芙Dove丝滑牛奶巧克力分享碗装 252g 代言人同款 休闲零食婚庆糖果礼品（新旧包装随机发放）,5000000
17.5,德芙(Dove)黑巧克力小碗装112g办公室零食生日礼物休闲零食礼品,200000
45,明治（Meiji）澳洲坚果夹心巧克力混合装 125g,20000
9.91,费列罗(FERRERO)榛果威化糖果巧克力制品 婚庆喜糖零食伴手礼 节日送礼亲友团聚休闲食品  3粒装37.5g,2000000
49.9,好时 Hershey’s 黑巧克力 排块 办公室休闲  零食 家庭分享装 婚庆喜糖 210g,200000
198,Ferrero费列罗榛果威化巧克力万圣节礼物送儿童女友女朋友男朋友生日礼物礼盒装费列罗16颗唯美斯32颗600g,100000
128,Ferrero费列罗榛果威化巧克力万圣节礼物送儿童女友女朋友男朋友生日礼物情人节表白三色巧克力礼盒装324g,50000
55,GODIVA歌帝梵 榛子立方牛奶巧克力5颗 伴手礼结婚喜糖进口巧克力休闲零食,2000
79,Ferrero费列罗榛果威化果仁夹心巧克力万圣节礼物送儿童女友女朋友男朋友生日礼物情人节创意紫色礼盒装211g,100000
258,歌帝梵GODIVA比利时进口夹心巧克力金装15枚万圣节礼物送儿童女友女朋友男朋友生日礼物情人节巧克力礼盒装,20000
78,Ferrero费列罗榛果威化巧克力万圣节礼物送儿童女友女朋友男朋友生日礼物情人节表白员工福利伴手礼盒18粒装,50000
9.9,德芙 Dove 黑糖珍珠奶茶味软糖夹心巧克力礼物送女友30g,200000
139.9,费列罗(FERRERO)榛果威化糖果巧克力制品 婚庆喜糖零食伴手礼 节日礼物员工福利 48粒礼盒装600g 金榜推荐,2000000
75,"京东国际	
意大利进口 费列罗(FERRERO)榛果威化糖果巧克力 员工福利婚庆喜糖零食伴手礼节日礼物 30粒375g",200000
139.9,费列罗(FERRERO)榛果威化糖果巧克力制品 婚庆喜糖节日团聚送礼 32粒礼盒装400g（新老款随机发货）,100000
48.9,德芙（Dove）丝滑牛奶巧克力4.5g 代言人同款 婚庆喜糖节日礼物 500g,200000
79.9,费列罗(FERRERO)T30意大利进口榛果威化糖果巧克力 30粒礼盒装375g,2000
149.9,费列罗(FERRERO)榛果威化糖果巧克力 婚庆喜糖零食伴手礼 情人节礼物48粒礼盒装600g,1000000
35.9,德芙（Dove）心语夹心巧克力礼盒98g（两种口味混装）情人节礼物送女友伴手礼喜糖（新旧包装随机发货）,500000
13.9,德芙(Dove)零糖系列海盐黑巧克力35g 代言人同款生日礼物礼品,100000
29.8,德芙Dove心语牛奶巧克力万圣节礼物送儿童女友女朋友男朋友生日礼物情人节表白员工福利伴手礼18粒礼盒100.8g,20000
55,歌帝梵（Godiva） GODIVA歌帝梵杯装巧克力5颗装 婚礼喜糖伴手礼 美国进口网红零食 香草立方黑巧克力5颗装,2000
21.8,德芙巧克力丝滑牛奶/奶香白巧克力/纯黑巧克力多味盒装混合口味婚庆巧克力礼盒送朋友生日礼物喜糖130g 【混合口味】130g-兔子铁盒,2000
24.8,德芙（Dove）丝滑牛奶巧克散装 婚庆喜糖 节日礼品 喜糖员工福利 丝滑牛奶巧克力250克【约50颗】,5000
5.9,德芙Dove丝滑牛奶巧克力 糖果礼品 休闲零食送女友 43g,200000
39.9,明治（Meiji）板式巧克力混合装 牛奶巧克力+特纯黑56%混装 180g,20000
86.9,好时之吻 Kisses牛奶巧克力 休闲零食 散装 婚庆喜糖 500g,500000
59,德芙（DOVE） 心语混合夹巧克力礼盒装心形牛奶巧克力万圣节糖果生日礼物送小孩老婆福利批发伴手礼 德芙心语36枚圆形铁盒装（JD物流 就近仓库发）,10000
15,明治（Meiji）牛奶巧克力 65g,10000
49.9,好时 Hershey’s 牛奶巧克力排块 办公室休闲零食 糖果 家庭分享装 婚庆喜糖 210g,200000
268.9,费列罗(FERRERO)榛果威化糖果巧克力制品 节日礼物休闲零食 婚庆喜糖零食伴手礼  96粒婚礼装1200g,500000
39,Ferrero费列罗榛果威化巧克力万圣节礼物送儿童女友女朋友男朋友生日礼物员工福利伴手礼蓝色礼盒装112g,100000
110.9,费列罗(FERRERO)榛果威化糖果巧克力制品 婚庆喜糖零食 节日团聚送礼 24粒礼盒装300g（新老款随机发货）,500000
60,明治（Meiji） 特纯黑巧克力\/黑巧克力\/特浓牛奶巧克力\/牛奶巧克力75g*4盒4种口味各1,2000
128,费列罗唯美斯榛果威化双拼巧克力礼盒万圣节礼物送儿童女朋友男朋友生日礼物礼盒装费列罗10颗唯美斯20颗375g,100000
208,歌帝梵GODIVA黑巧克力排块90%黑巧苦大板片纯可可脂烘焙高档零食*3块装,2000
32,日本进口明治 Meiji杏仁坚果 夹心巧克力 杏仁夹心巧克力88g,1000
